Ligand,Conformer,Atom1,Atom2,Atom3,Atom4,Atom5,Atom6,Atom7,Atom8,Atom9
108_cs,CONF_0207,-0.30062,-0.22107,-0.31793,0.24035,0.29447,0.86898,0.88639,0.24612,0.24601
108_cs,CONF_0225,-0.27960,-0.22906,-0.32795,0.24301,0.29767,0.87077,0.84441,0.24546,0.24801
108_cs,CONF_0383,-0.29305,-0.22331,-0.32219,0.24155,0.29261,0.87195,0.87052,0.24543,0.24672
108_cs,CONF_0398,-0.28365,-0.22345,-0.33351,0.24178,0.28392,0.89044,0.87838,0.24425,0.24675
109_cs,CONF_0003,-0.28463,-0.23479,-0.27202,0.23839,0.28545,0.91424,0.90849,0.24827,0.24729
109_cs,CONF_0007,-0.26476,-0.23191,-0.29642,0.24052,0.29103,0.91415,0.90943,0.24669,0.24964
109_cs,CONF_0013,-0.28306,-0.23012,-0.28600,0.23929,0.28830,0.91554,0.92580,0.24783,0.24769
109_cs,CONF_0019,-0.28056,-0.22752,-0.29331,0.23858,0.28723,0.92255,0.91202,0.24639,0.24847
109_cs,CONF_0022,-0.30135,-0.23001,-0.26775,0.23950,0.28908,0.91161,0.91869,0.25036,0.24662
109_cs,CONF_0061,-0.30283,-0.23367,-0.26508,0.24366,0.28918,0.90630,0.92769,0.24372,0.24273
109_cs,CONF_0073,-0.27195,-0.22811,-0.30411,0.24069,0.28701,0.93262,0.90417,0.24577,0.24596
109_cs,CONF_0075,-0.27380,-0.23011,-0.30425,0.24338,0.28980,0.92407,0.92501,0.23935,0.24414
109_cs,CONF_0089,-0.29144,-0.22856,-0.28458,0.23906,0.28811,0.91991,0.91945,0.24817,0.24739
109_cs,CONF_0239,-0.28322,-0.23140,-0.29656,0.24313,0.28912,0.91734,0.91981,0.24083,0.24153
109_cs,CONF_0505,-0.28029,-0.22761,-0.29335,0.23859,0.28735,0.92260,0.91167,0.24638,0.24848
110_cs,CONF_0003,-0.28448,-0.23492,-0.27184,0.23824,0.28555,0.91401,0.90892,0.24821,0.24739
